variant,experiment,class,precision,recall,f1,support
1,real_only,1,0.22857142857142856,0.36363636363636365,0.2807017543859649,22.0
1,real_only,2,0.4166666666666667,0.4166666666666667,0.4166666666666667,36.0
1,real_only,3,0.46153846153846156,0.3870967741935484,0.42105263157894735,31.0
1,real_only,4,0.4444444444444444,0.3076923076923077,0.36363636363636365,26.0
1,real_only,accuracy,0.3739130434782609,0.3739130434782609,0.3739130434782609,
1,real_only,macro avg,0.3878052503052503,0.3687730280472216,0.37051435406698563,
1,real_only,weighted avg,0.399059298189733,0.3739130434782609,0.3798488315650787,
1,low_aug,1,0.1111111111111111,0.08333333333333333,0.09523809523809523,12.0
1,low_aug,2,0.0,0.0,0.0,10.0
1,low_aug,3,0.23076923076923078,0.5,0.3157894736842105,6.0
1,low_aug,4,0.4166666666666667,0.5,0.45454545454545453,10.0
1,low_aug,accuracy,0.23684210526315788,0.23684210526315788,0.23684210526315788,
1,low_aug,macro avg,0.18963675213675213,0.27083333333333337,0.21639325586694008,
1,low_aug,weighted avg,0.18117408906882593,0.23684210526315788,0.1995539086951829,
1,moderate_aug,1,0.2,0.2,0.2,10.0
1,moderate_aug,2,0.38461538461538464,0.2631578947368421,0.3125,19.0
1,moderate_aug,3,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
1,moderate_aug,4,0.3333333333333333,0.5555555555555556,0.4166666666666667,9.0
1,moderate_aug,accuracy,0.34,0.34,0.34,
1,moderate_aug,macro avg,0.33365384615384613,0.3588450292397661,0.33645833333333336,
1,moderate_aug,weighted avg,0.34615384615384615,0.34,0.33375,
1,high_aug,1,0.23076923076923078,0.15,0.18181818181818182,20.0
1,high_aug,2,0.23529411764705882,0.23529411764705882,0.23529411764705882,17.0
1,high_aug,3,0.3076923076923077,0.4,0.34782608695652173,20.0
1,high_aug,4,0.21052631578947367,0.2222222222222222,0.21621621621621623,18.0
1,high_aug,accuracy,0.25333333333333335,0.25333333333333335,0.25333333333333335,
1,high_aug,macro avg,0.24607049297451775,0.25187908496732025,0.24528865065949465,
1,high_aug,weighted avg,0.24744939271255062,0.25333333333333335,0.2464636968984795,
1,synthetic_only,1,0.225,0.2727272727272727,0.2465753424657534,33.0
1,synthetic_only,2,0.375,0.30612244897959184,0.33707865168539325,49.0
1,synthetic_only,3,0.16129032258064516,0.18518518518518517,0.1724137931034483,27.0
1,synthetic_only,4,0.2413793103448276,0.22580645161290322,0.23333333333333334,31.0
1,synthetic_only,accuracy,0.2571428571428571,0.2571428571428571,0.2571428571428571,
1,synthetic_only,macro avg,0.2506674082313682,0.24746033962623826,0.24735028014698207,
1,synthetic_only,weighted avg,0.26883998093119343,0.2571428571428571,0.2610167570077183,
2,real_only,1,0.47058823529411764,0.4444444444444444,0.45714285714285713,18.0
2,real_only,2,0.5217391304347826,0.5217391304347826,0.5217391304347826,23.0
2,real_only,3,0.47058823529411764,0.47058823529411764,0.47058823529411764,17.0
2,real_only,4,0.2222222222222222,0.23529411764705882,0.22857142857142856,17.0
2,real_only,accuracy,0.4266666666666667,0.4266666666666667,0.4266666666666667,
2,real_only,macro avg,0.42128445581131,0.4180164819551009,0.4195104128607965,
2,real_only,weighted avg,0.4299782135076253,0.4266666666666667,0.4281904761904762,
2,low_aug,1,0.4,0.36363636363636365,0.38095238095238093,11.0
2,low_aug,2,0.5384615384615384,0.5,0.5185185185185185,14.0
2,low_aug,3,0.1111111111111111,0.16666666666666666,0.13333333333333333,6.0
2,low_aug,4,0.0,0.0,0.0,7.0
2,low_aug,accuracy,0.3157894736842105,0.3157894736842105,0.3157894736842105,
2,low_aug,macro avg,0.2623931623931624,0.25757575757575757,0.2582010582010582,
2,low_aug,weighted avg,0.3317139001349528,0.3157894736842105,0.32236145920356446,
2,moderate_aug,1,0.5,0.7142857142857143,0.5882352941176471,14.0
2,moderate_aug,2,0.6666666666666666,0.5,0.5714285714285714,16.0
2,moderate_aug,3,0.4444444444444444,0.3333333333333333,0.38095238095238093,12.0
2,moderate_aug,4,0.4444444444444444,0.5,0.47058823529411764,8.0
2,moderate_aug,accuracy,0.52,0.52,0.52,
2,moderate_aug,macro avg,0.5138888888888888,0.5119047619047619,0.5028011204481793,
2,moderate_aug,weighted avg,0.531111111111111,0.52,0.5142857142857143,
2,high_aug,1,0.47619047619047616,0.5263157894736842,0.5,19.0
2,high_aug,2,0.45454545454545453,0.5555555555555556,0.5,18.0
2,high_aug,3,0.5,0.35294117647058826,0.41379310344827586,17.0
2,high_aug,4,0.25,0.23809523809523808,0.24390243902439024,21.0
2,high_aug,accuracy,0.41333333333333333,0.41333333333333333,0.41333333333333333,
2,high_aug,macro avg,0.42018398268398266,0.4182269398987666,0.4144238856181665,
2,high_aug,weighted avg,0.41305916305916307,0.41333333333333333,0.4087524530417718,
2,synthetic_only,1,0.29411764705882354,0.3225806451612903,0.3076923076923077,31.0
2,synthetic_only,2,0.3235294117647059,0.2558139534883721,0.2857142857142857,43.0
2,synthetic_only,3,0.3333333333333333,0.40625,0.36619718309859156,32.0
2,synthetic_only,4,0.3333333333333333,0.3235294117647059,0.3283582089552239,34.0
2,synthetic_only,accuracy,0.32142857142857145,0.32142857142857145,0.32142857142857145,
2,synthetic_only,macro avg,0.321078431372549,0.32704350260359205,0.32199049636510224,
2,synthetic_only,weighted avg,0.3216386554621849,0.32142857142857145,0.3193333199129169,
